"genus","species","taxon"
"Brachionus","Brachionus sp.","Rotifera"
"Brachionus","Brachionus angularis","Rotifera"
"Brachionus","Brachionus testudo","Rotifera"
"Brachionus","Brachionus syennensis","Rotifera"
"Brachionus","Brachionus papuanus","Rotifera"
"Brachionus","Brachionus urceolaris f. angulatus","Rotifera"
"Brachionus","Brachionus calyciflorus","Rotifera"
"Brachionus","Brachionus longispinus","Rotifera"
"Brachionus","Brachionus pala","Rotifera"
"Brachionus","Brachionus bicornis","Rotifera"
"Brachionus","Brachionus dicipiens","Rotifera"
"Brachionus","Brachionus plicatilis","Rotifera"
"Brachionus","Brachionus hepatotomeus","Rotifera"
"Brachionus","Brachionus muelleri","Rotifera"
"Brachionus","Brachionus orientalis","Rotifera"
"Brachionus","Brachionus quadridentatus","Rotifera"
"Brachionus","Brachionus bakeri","Rotifera"
"Brachionus","Brachionus capsuliflorus","Rotifera"
"Brachionus","Brachionus quadricornis","Rotifera"
"Brachionus","Brachionus octodentatus","Rotifera"
"Brachionus","Brachionus rubens","Rotifera"
"Brachionus","Brachionus urceus","Rotifera"
"Brachionus","Brachionus urceus","Rotifera"
"Tubipora","Tubipora urceus","Rotifera"
"Vorticella","Vorticella urceolaris","Rotifera"
"Brachionus","Brachionus bursarius","Rotifera"
"Brachionus","Brachionus sericus","Rotifera"
"Brachionus","Brachionus urceus","Rotifera"
"Brachionus","Brachionus urceolaris","Rotifera"
"Cephalodella","Cephalodella catellina","Rotifera"
"Cephalodella","Cephalodella megalocephala","Rotifera"
"Collotheca","Collotheca sp.","Rotifera"
"Collotheca","Collotheca mutabilis","Rotifera"
"Collotheca","Collotheca ornata","Rotifera"
"Collotheca","Collotheca pelagica","Rotifera"
"Colurella","Colurella sp.","Rotifera"
"Conochilus","Conochilus unicornis","Rotifera"
"Conochilus","Conochilus leptopus","Rotifera"
"Conochilus","Conochilus limneticus","Rotifera"
"Conochilus","Conochilus norvegicus","Rotifera"
"Dicranophorus","Dicranophorus sp.","Rotifera"
"Encentrum","Encentrum pachypus","Rotifera"
"Euchlanis","Euchlanis sp.","Rotifera"
"Euchlanis","Euchlanis dilatata","Rotifera"
"Euchlanis","Euchlanis hipposideros","Rotifera"
"Filinia","Filinia brachiata","Rotifera"
"Filinia","Filinia longiseta","Rotifera"
"Triarthra","Triarthra longiseta","Rotifera"
"Filinia","Filinia terminalis","Rotifera"
"Filinia","Filinia maior","Rotifera"
"Triarthra","Triarthra terminalis","Rotifera"
"Hexarthra","Hexarthra fennica","Rotifera"
"Pedalia","Pedalia fennica","Rotifera"
"Kellicottia","Kellicottia longispina","Rotifera"
"Anuraea","Anuraea longispina","Rotifera"
"Anuraea","Anuraea spinosa","Rotifera"
"Notholca","Notholca longispina","Rotifera"
"Keratella","Keratella cochlearis","Rotifera"
"Anuraea","Anuraea cochlearis","Rotifera"
"Anuraea","Anuraea longistyla","Rotifera"
"Anuraea","Anuraea longispina","Rotifera"
"Anuraea","Anuraea intermedia","Rotifera"
"Keratella","Keratella cochlearis baltica","Rotifera"
"Keratella","Keratella cochlearis recurvispina","Rotifera"
"Keratella","Keratella cochlearis tecta","Rotifera"
"Keratella","Keratella cruciformis eichwaldi","Rotifera"
"Anuraea","Anuraea tecta","Rotifera"
"Anuraea","Anuraea eichwaldi","Rotifera"
"Anuraea","Anuraea cruciformis var. eichwaldi","Rotifera"
"Keratella","Keratella cruciformis var. eichwaldi","Rotifera"
"Keratella","Keratella cruciformis eichwaldi","Rotifera"
"Keratella","Keratella quadrata","Rotifera"
"Brachionus","Brachionus quadratus","Rotifera"
"Kerona","Kerona octoceros","Rotifera"
"Vaginaria","Vaginaria squamula","Rotifera"
"Anourella","Anourella squamula","Rotifera"
"Anuraea","Anuraea squamula","Rotifera"
"Anuraea","Anuraea aculeata","Rotifera"
"Anuraea","Anuraea octoceros","Rotifera"
"Keratella","Keratella quadrata platei","Rotifera"
"Keratella","Keratella platei","Rotifera"
"Lecane","Lecane sp.","Rotifera"
"Lecane","Lecane lamellata","Rotifera"
"Lecane","Lecane luna","Rotifera"
"Lecane","Lecane jobloti","Rotifera"
"Lecane","Lecane emarginata","Rotifera"
"Lecane","Lecane luna balatonica","Rotifera"
"Lecane","Lecane submagna","Rotifera"
"Lecane","Lecane dorsicalis","Rotifera"
"Lecane","Lecane lunaris","Rotifera"
"Lecane","Lecane quennerstedti","Rotifera"
"Lecane","Lecane constricta","Rotifera"
"Lecane","Lecane acus","Rotifera"
"Lecane","Lecane crenata","Rotifera"
"Lecane","Lecane sylvatica","Rotifera"
"Lecane","Lecane virga","Rotifera"
"Lecane","Lecane perplexa","Rotifera"
"Lecane","Lecane scutata","Rotifera"
"Lepadella","Lepadella sp.","Rotifera"
"Monommata","Monommata sp.","Rotifera"
"Mytilina","Mytilina mucronata","Rotifera"
"Notholca","Notholca sp.","Rotifera"
"Notholca","Notholca caudata","Rotifera"
"Notholca","Notholca acuminata","Rotifera"
"Notholca","Notholca acuminata","Rotifera"
"Anuraea","Anuraea acuminata","Rotifera"
"Anuraea","Anuraea striata","Rotifera"
"Notholca","Notholca acuminata extensa","Rotifera"
"Notholca","Notholca acuminata marina","Rotifera"
"Notholca","Notholca labis","Rotifera"
"Notholca","Notholca squamula","Rotifera"
"Brachionus","Brachionus squamula","Rotifera"
"Anuraea","Anuraea striata","Rotifera"
"Notholca","Notholca scapha","Rotifera"
"Notholca","Notholca polygona","Rotifera"
"Notholca","Notholca jugosa","Rotifera"
"Notholca","Notholca squamula salina","Rotifera"
"Notholca","Notholca striata","Rotifera"
"Philodina","Philodina sp.","Rotifera"
"Ploesoma","Ploesoma truncatum","Rotifera"
"Gastroschiza","Gastroschiza truncata","Rotifera"
"Polyarthra","Polyarthra sp.","Rotifera"
"Polyarthra","Polyarthra dolichoptera","Rotifera"
"Polyarthra","Polyarthra platyptera var. dolichoptera","Rotifera"
"Polyarthra","Polyarthra major","Rotifera"
"Polyarthra","Polyarthra remata","Rotifera"
"Polyarthra","Polyarthra vulgaris","Rotifera"
"Pompholyx","Pompholyx sulcata","Rotifera"
"Proales","Proales sp.","Rotifera"
"Proales","Proales reinhardti","Rotifera"
"Synchaeta","Synchaeta sp.","Rotifera"
"Synchaeta","Synchaeta baltica","Rotifera"
"Synchaeta","Synchaeta cecilia","Rotifera"
"Synchaeta","Synchaeta curvata","Rotifera"
"Synchaeta","Synchaeta fennica","Rotifera"
"Synchaeta","Synchaeta grimpei","Rotifera"
"Synchaeta","Synchaeta gyrina","Rotifera"
"Synchaeta","Synchaeta littoralis","Rotifera"
"Synchaeta","Synchaeta monopus","Rotifera"
"Synchaeta","Synchaeta pectinata","Rotifera"
"Synchaeta","Synchaeta triophthalma","Rotifera"
"Synchaeta","Synchaeta vorax","Rotifera"
"Testudinella","Testudinella clypeata","Rotifera"
"Trichocerca","Trichocerca sp.","Rotifera"
"Trichocerca","Trichocerca capucina","Rotifera"
"Trichocerca","Trichocerca dixon-nutalli","Rotifera"
"Trichocerca","Trichocerca marina","Rotifera"
"Trichocerca","Trichocerca pusilla","Rotifera"
"Trichocerca","Trichocerca similis","Rotifera"
"Diurella","Diurella similis","Rotifera"
"Trichotria","Trichotria pocillum","Rotifera"
"Alona","Alona sp.","Diplostraca"
"Alona","Alona intermedia","Diplostraca"
"Alona","Alona quadrangularis","Diplostraca"
"Alona","Alona rectangula","Diplostraca"
"Alona","Alona rectangulata","Diplostraca"
"Alonopsis","Alonopsis elongata","Diplostraca"
"Bosmina","Bosmina crassicornis","Diplostraca"
"Bosmina","Bosmina longirostris","Diplostraca"
"Bythotrephes","Bythotrephes sp.","Diplostraca"
"Cercopagis","Cercopagis pengoi","Diplostraca"
"Ceriodaphnia","Ceriodaphnia sp.","Diplostraca"
"Ceriodaphnia","Ceriodaphnia laticaudata","Diplostraca"
"Ceriodaphnia","Ceriodaphnia pulchella","Diplostraca"
"Ceriodaphnia","Ceriodaphnia quadrangula","Diplostraca"
"Ceriodaphnia","Ceriodaphnia reticulata","Diplostraca"
"Chydorus","Chydorus sphaericus","Diplostraca"
"Cornigerius","Cornigerius maeoticus","Diplostraca"
"Daphnia","Daphnia sp.","Diplostraca"
"Daphnia","Daphnia cristata","Diplostraca"
"Daphnia","Daphnia cucullata","Diplostraca"
"Daphnia","Daphnia galeata","Diplostraca"
"Daphnia","Daphnia longispina","Diplostraca"
"Daphnia","Daphnia magna","Diplostraca"
"Diaphanosoma","Diaphanosoma brachyurum","Diplostraca"
"Diaphanosoma","Diaphanosoma mongolianum","Diplostraca"
"Eubosmina","Eubosmina coregoni","Diplostraca"
"Bosmina","Bosmina coregoni","Diplostraca"
"Bosmina","Bosmina coregoni coregoni","Diplostraca"
"Eubosmina","Eubosmina longispina","Diplostraca"
"Bosmina","Bosmina longispina","Diplostraca"
"Bosmina","Bosmina coregoni maritima sensu","Diplostraca"
"Eubosmina","Eubosmina maritima","Diplostraca"
"Bosmina","Bosmina maritima","Diplostraca"
"Eurycercus","Eurycercus lamellatus","Diplostraca"
"Evadne","Evadne anonyx","Diplostraca"
"Evadne","Evadne nordmanni","Diplostraca"
"Evadne","Evadne spinifera","Diplostraca"
"Leptodora","Leptodora kindtii","Diplostraca"
"Leptodora","Leptodora kindti","Diplostraca"
"Pleopsis","Pleopsis polyphemoides","Diplostraca"
"Podon","Podon polyphemoides","Diplostraca"
"Podon","Podon intermedius","Diplostraca"
"Podon","Podon leuckartii","Diplostraca"
"Polyphemus","Polyphemus pediculus","Diplostraca"
"Sida","Sida crystallina","Diplostraca"
"Acartia","Acartia bifilosa","Copepoda"
"Acartia","Acartia clausi","Copepoda"
"Acartia","Acartia discaudata","Copepoda"
"Acartia","Acartia longiremis","Copepoda"
"Acartia","Acartia tonsa","Copepoda"
"Calanus","Calanus finmarchicus","Copepoda"
"Calanus","Calanus tonsus","Copepoda"
"Calanus","Calanus hyperboreus","Copepoda"
"Candacia","Candacia armata","Copepoda"
"Centropages","Centropages chierchiae","Copepoda"
"Centropages","Centropages hamatus","Copepoda"
"Centropages","Centropages typicus","Copepoda"
"Diaptomus","Diaptomus sp.","Copepoda"
"Eudiaptomus","Eudiaptomus gracilis","Copepoda"
"Eurytemora","Eurytemora affinis","Copepoda"
"Eurytemora","Eurytemora hirundoides","Copepoda"
"Eurytemora","Eurytemora hirundo","Copepoda"
"Eurytemora","Eurytemora lacustris","Copepoda"
"Eurytemora","Eurytemora velox","Copepoda"
"Limnocalanus","Limnocalanus grimaldii","Copepoda"
"Limnocalanus","Limnocalanus macrurus","Copepoda"
"Metridia","Metridia lucens","Copepoda"
"Microcalanus","Microcalanus pusillus","Copepoda"
"Paracalanus","Paracalanus parvus","Copepoda"
"Paraeuchaeta","Paraeuchaeta norvegica","Copepoda"
"Pareucalanus","Pareucalanus attenuatus","Copepoda"
"Eucalanus","Eucalanus attenuatus","Copepoda"
"Pseudocalanus","Pseudocalanus acuspes","Copepoda"
"Pseudocalanus","Pseudocalanus elongatus","Copepoda"
"Pseudocalanus","Pseudocalanus minutus elongatus","Copepoda"
"Pseudocalanus","Pseudocalanus minutus","Copepoda"
"Temora","Temora longicornis","Copepoda"
"Acanthocyclops","Acanthocyclops robustus","Copepoda"
"Acanthocyclops","Acanthocyclops vernalis","Copepoda"
"Acanthocyclops","Acanthocyclops plattensis","Copepoda"
"Cyclops","Cyclops sp.","Copepoda"
"Cyclops","Cyclops strenuus","Copepoda"
"Cyclops","Cyclops vicinus","Copepoda"
"Cyclopina","Cyclopina gracilis","Copepoda"
"Cyclopina","Cyclopina kieferi","Copepoda"
"Cyclopina","Cyclopina norvegica","Copepoda"
"Diacyclops","Diacyclops bicuspidatus","Copepoda"
"Diacyclops","Diacyclops bisetosus","Copepoda"
"Eucyclops","Eucyclops graciloides","Copepoda"
"Eucyclops","Eucyclops macrurus","Copepoda"
"Eucyclops","Eucyclops serrulatus","Copepoda"
"Eucyclops","Eucyclops speratus","Copepoda"
"Halicyclops","Halicyclops affinis","Copepoda"
"Halicyclops","Halicyclops magniceps","Copepoda"
"Halicyclops","Halicyclops neglectus","Copepoda"
"Macrocyclops","Macrocyclops albidus","Copepoda"
"Megacyclops","Megacyclops viridis","Copepoda"
"Mesocyclops","Mesocyclops sp.","Copepoda"
"Mesocyclops","Mesocyclops hyalinus","Copepoda"
"Mesocyclops","Mesocyclops leuckarti","Copepoda"
"Oithona","Oithona atlantica","Copepoda"
"Oithona","Oithona similis","Copepoda"
"Paracyclops","Paracyclops sp.","Copepoda"
"Thermocyclops","Thermocyclops oithonoides","Copepoda"
"Cymbasoma","Cymbasoma rigidum","Copepoda"
"Cymbasoma","Cymbasoma thompsoni","Copepoda"
"Monstrilla","Monstrilla helgolandica","Copepoda"
"Canthocamptus","Canthocamptus staphylinus","Copepoda"
"Ectinosoma","Ectinosoma melaniceps","Copepoda"
"Halectinosoma","Halectinosoma curticorne","Copepoda"
"Harpacticoida","Harpacticoida indet.","Copepoda"
"Microsetella","Microsetella norvegica","Copepoda"
"Limacina","Limacina retroversa","Pteropoda"
"Spiratella","Spiratella retroversa","Pteropoda"
"Bylgides","Bylgides sarsi","Polychaeta"
"Harmothoe","Harmothoe sarsi sarsi","Polychaeta"
"Antinoella","Antinoella sarsi sarsi","Polychaeta"
"Antinoella","Antinoella sarsi","Polychaeta"
"Antinoe","Antinoe sarsi","Polychaeta"
"Harmothoe","Harmothoe imbricata","Polychaeta"
"Aphrodita","Aphrodita imbricata","Polychaeta"
"Harmothoe","Harmothoe impar","Polychaeta"
"Polynoe","Polynoe impar","Polychaeta"
"Nephtys","Nephtys sp.","Polychaeta"
"Nereis","Nereis diversicolor","Polychaeta"
"Pygospio","Pygospio elegans","Polychaeta"
"Tomopteris","Tomopteris helgolandica","Polychaeta"
"Polychaeta_larvae","Polychaeta larvae",""
"Parasagitta","Parasagitta elegans","Chaetognatha"
"Sagitta","Sagitta elegans","Chaetognatha"
"Parasagitta","Parasagitta setosa","Chaetognatha"
"Sagitta","Sagitta setosa","Chaetognatha"
"Sagitta","Sagitta bipunctata","Chaetognatha"
"Fritillaria","Fritillaria borealis","Copelata"
"Oikopleura","Oikopleura dioica","Copelata"
"Larvae_of_Bivalvia_(Mollusca)","Larvae of Bivalvia (Mollusca)",""
"Larvae_of_Gastropoda_(Mollusca)","Larvae of Gastropoda (Mollusca)",""
"Larvae_of_Cirripedia_(Crustacea)","Larvae of Cirripedia (Crustacea)",""
"Larvae_of_Bryozoa","Larvae of Bryozoa",""
"Larvae_of_Echinodermata","Larvae of Echinodermata",""
"Abietinaria","Abietinaria abietina",NA
"Ablabesmyia","Ablabesmyia longistyla",NA
"Ablabesmyia","Ablabesmyia monilis",NA
"Ablabesmyia","Ablabesmyia phatta",NA
"Abludomelita","Abludomelita obtusata",NA
"Abra","Abra alba",NA
"Abra","Abra nitida",NA
"Abra","Abra prismatica",NA
"Abyssoninoe","Abyssoninoe hibernica",NA
"Abyssoninoe","Abyssoninoe scopa",NA
"Acanthocardia","Acanthocardia echinata",NA
"Acanthodoris","Acanthodoris pilosa",NA
"Acaulis","Acaulis primarius",NA
"Acentria","Acentria ephemerella",NA
"Acidostoma","Acidostoma obesum",NA
"Acilius","Acilius canaliculatus",NA
"Aclis","Aclis minor",NA
"Aclis","Aclis walleri",NA
"Acricotopus","Acricotopus lucens",NA
"Acroloxus","Acroloxus lacustris",NA
"Acteon","Acteon tornatilis",NA
"Actinia","Actinia equina",NA
"Adalaria","Adalaria proxima",NA
"Aeginina","Aeginina longicornis",NA
"Aeolidia","Aeolidia papillosa",NA
"Aeolidiella","Aeolidiella glauca",NA
"Aeolosoma","Aeolosoma hemprichii",NA
"Aequipecten","Aequipecten opercularis",NA
"Aeshna","Aeshna grandis",NA
"Aeshna","Aeshna juncea",NA
"Aeshna","Aeshna mixta",NA
"Aeshna","Aeshna serrata",NA
"Aetea","Aetea anguina",NA
"Aetea","Aetea sica",NA
"Aetea","Aetea truncata",NA
"Agabus","Agabus bipustulatus",NA
"Agabus","Agabus sturmii",NA
"Aglaophamus","Aglaophamus agilis",NA
"Aglaophamus","Aglaophamus pulcher",NA
"Agraylea","Agraylea multipunctata",NA
"Agraylea","Agraylea pallicornis",NA
"Agraylea","Agraylea sexmaculata",NA
"Agrypnetes","Agrypnetes crassicornis",NA
"Agrypnia","Agrypnia obsoleta",NA
"Agrypnia","Agrypnia pagetana",NA
"Agrypnia","Agrypnia varia",NA
"Akanthophoreus","Akanthophoreus gracilis",NA
"Akera","Akera bullata",NA
"Aktedrilus","Aktedrilus monospermathecus",NA
"Alboglossiphonia","Alboglossiphonia heteroclita",NA
"Alboglossiphonia","Alboglossiphonia hyalina",NA
"Alboglossiphonia","Alboglossiphonia striata",NA
"Alcyonidium","Alcyonidium albidum",NA
"Alcyonidium","Alcyonidium diaphanum",NA
"Alcyonidium","Alcyonidium gelatinosum",NA
"Alcyonidium","Alcyonidium hirsutum",NA
"Alcyonidium","Alcyonidium mamillatum",NA
"Alcyonidium","Alcyonidium parasiticum",NA
"Alcyonidium","Alcyonidium polyoum",NA
"Alcyonium","Alcyonium digitatum",NA
"Alcyonium","Alcyonium glomeratum",NA
"Alderia","Alderia modesta",NA
"Alderina","Alderina imbellis",NA
"Alitta","Alitta succinea",NA
"Alitta","Alitta virens",NA
"Alkmaria","Alkmaria romijni",NA
"Alvania","Alvania subsoluta",NA
"Alvania","Alvania testae",NA
"Amaeana","Amaeana trilobata",NA
"Amauropsis","Amauropsis islandica",NA
"Ampelisca","Ampelisca brevicornis",NA
"Ampelisca","Ampelisca diadema",NA
"Ampelisca","Ampelisca macrocephala",NA
"Ampelisca","Ampelisca spinipes",NA
"Ampelisca","Ampelisca tenuicornis",NA
"Ampelisca","Ampelisca typica",NA
"Ampharete","Ampharete acutifrons",NA
"Ampharete","Ampharete baltica",NA
"Ampharete","Ampharete falcata",NA
"Ampharete","Ampharete finmarchica",NA
"Amphiblestrum","Amphiblestrum auritum",NA
"Amphiblestrum","Amphiblestrum flemingii",NA
"Amphichaeta","Amphichaeta leydigi",NA
"Amphichaeta","Amphichaeta sannio",NA
"Amphicteis","Amphicteis gunneri",NA
"Amphicteis","Amphicteis midas",NA
"Amphictene","Amphictene auricoma",NA
"Amphilectus","Amphilectus fucorum",NA
"Amphilectus","Amphilectus lobatus",NA
"Amphilepis","Amphilepis norvegica",NA
"Amphilochoides","Amphilochoides boecki",NA
"Amphilochoides","Amphilochoides serratipes",NA
"Amphilochus","Amphilochus manudens",NA
"Amphipholis","Amphipholis squamata",NA
"Amphitrite","Amphitrite cirrata",NA
"Neoamphitrite","Neoamphitrite figulus",NA
"Amphiura","Amphiura chiajei",NA
"Amphiura","Amphiura filiformis",NA
"Ampithoe","Ampithoe rubricata",NA
"Anabolia","Anabolia laevis",NA
"Anapagurus","Anapagurus chiroacanthus",NA
"Anapagurus","Anapagurus laevis",NA
"Ancula","Ancula gibbosa",NA
"Ancylus","Ancylus fluviatilis",NA
"Anisus","Anisus leucostoma",NA
"Anisus","Anisus spirorbis",NA
"Anisus","Anisus vortex",NA
"Anisus","Anisus vorticulus",NA
"Anobothrus","Anobothrus gracilis",NA
"Anodonta","Anodonta anatina",NA
"Anodonta","Anodonta cygnea",NA
"Anoplodactylus","Anoplodactylus petiolatus",NA
"Patella","Patella pellucida",NA
"Antalis","Antalis dentalis",NA
"Antedon","Antedon petasus",NA
"Aonides","Aonides oxycephala",NA
"Aonides","Aonides paucibranchiata",NA
"Aora","Aora gracilis",NA
"Aora","Aora typica",NA
"Apatania","Apatania stigmatella",NA
"Apatania","Apatania wallengreni",NA
"Aphelochaeta","Aphelochaeta marioni",NA
"Chaetozone","Chaetozone vivipara",NA
"Aphelocheirus","Aphelocheirus aestivalis",NA
"Apherusa","Apherusa bispinosa",NA
"Apherusa","Apherusa jurinei",NA
"Apherusa","Apherusa ovalipes",NA
"Aphrodita","Aphrodita aculeata",NA
"Apistobranchus","Apistobranchus tenuis",NA
"Apistobranchus","Apistobranchus tullbergi",NA
"Aplidium","Aplidium proliferum",NA
"Aplysia","Aplysia punctata",NA
"Apocorophium","Apocorophium lacustre",NA
"Aporrhais","Aporrhais pespelecani",NA
"Apseudes","Apseudes spinosus",NA
"Arachnidium","Arachnidium hippothooides",NA
"Araphura","Araphura brevimanus",NA
"Arcteonais","Arcteonais lomondi",NA
"Arctica","Arctica islandica",NA
"Arenicola","Arenicola marina",NA
"Arenocoris","Arenocoris fallenii",NA
"Argissa","Argissa hamatipes",NA
"Argulus","Argulus foliaceus",NA
"Argyroneta","Argyroneta aquatica",NA
"Aricidea","Aricidea catherinae",NA
"Aricidea","Aricidea cerrutii",NA
"Aricidea","Aricidea minuta",NA
"Aricidea","Aricidea suecica",NA
"Armiger","Armiger crista",NA
"Armina","Armina loveni",NA
"Arrhis","Arrhis phyllonyx",NA
"Artacama","Artacama proboscidea",NA
"Ascidia","Ascidia conchilega",NA
"Ascidia","Ascidia mentula",NA
"Ascidia","Ascidia obliqua",NA
"Ascidia","Ascidia virginea",NA
"Ascidiella","Ascidiella aspersa",NA
"Ascidiella","Ascidiella scabra",NA
"Asellus","Asellus aquaticus",NA
"Astacilla","Astacilla dilatata",NA
"Astacilla","Astacilla intermedia",NA
"Astacilla","Astacilla longicornis",NA
"Astarte","Astarte borealis",NA
"Astarte","Astarte elliptica",NA
"Astarte","Astarte montagui",NA
"Astarte","Astarte sulcata",NA
"Asterias","Asterias rubens",NA
"Astropecten","Astropecten irregularis",NA
"Chirimia","Chirimia biceps",NA
"Atelecyclus","Atelecyclus rotundatus",NA
"Athanas","Athanas nitescens",NA
"Athripsodes","Athripsodes cinereus",NA
"Atlantopandalus","Atlantopandalus propinqvus",NA
"Nototropis","Nototropis swammerdamei",NA
"Nototropis","Nototropis vedlomensis",NA
"Aulodrilus","Aulodrilus japonicus",NA
"Aulodrilus","Aulodrilus limnobius",NA
"Aulodrilus","Aulodrilus pigueti",NA
"Autonoe","Autonoe longipes",NA
"Axinella","Axinella infundibuliformis",NA
"Axinella","Axinella rugosa",NA
"Baetis","Baetis rhodani",NA
"Balanus","Balanus balanus",NA
"Balanus","Balanus crenatus",NA
"Amphibalanus","Amphibalanus improvisus",NA
"Baltoplana","Baltoplana magna",NA
"Barentsia","Barentsia gracilis",NA
"Barnea","Barnea candida",NA
"Bathymedon","Bathymedon longimanus",NA
"Bathyomphalus","Bathyomphalus contortus",NA
"Bathyporeia","Bathyporeia elegans",NA
"Bathyporeia","Bathyporeia gracilis",NA
"Bathyporeia","Bathyporeia guilliamsoniana",NA
"Bathyporeia","Bathyporeia pelagica",NA
"Bathyporeia","Bathyporeia pilosa",NA
"Bathyporeia","Bathyporeia sarsi",NA
"Bathyporeia","Bathyporeia tenuipes",NA
"Batracobdelloides","Batracobdelloides moogi",NA
"Bdellocephala","Bdellocephala punctata",NA
"Beania","Beania mirabilis",NA
"Sorgenfreispira","Sorgenfreispira brachystoma",NA
"Bela","Bela nebula",NA
"Bela","Bela powisiana",NA
"Bezzia","Bezzia solstitialis",NA
"Bicellariella","Bicellariella ciliata",NA
"Bidessus","Bidessus unistriatus",NA
"Bithynia","Bithynia leachii",NA
"Bithynia","Bithynia tentaculata",NA
"Bithynia","Bithynia troschelii",NA
"Bittium","Bittium reticulatum",NA
"Boccardiella","Boccardiella ligerica",NA
"Bodotria","Bodotria scorpioides",NA
"Boreotrophon","Boreotrophon truncatus",NA
"Borysthenia","Borysthenia naticina",NA
"Bothriomolus","Bothriomolus balticus",NA
"Bothrioneurum","Bothrioneurum vejdovskyanum",NA
"Bothromesostoma","Bothromesostoma personatum",NA
"Botrylloides","Botrylloides leachii",NA
"Botryllus","Botryllus schlosseri",NA
"Bougainvillia","Bougainvillia britannica",NA
"Bougainvillia","Bougainvillia muscus",NA
"Amathia","Amathia gracilis",NA
"Amathia","Amathia imbricata",NA
"Brachytron","Brachytron pratense",NA
"Brada","Brada inhabilis",NA
"Brada","Brada villosa",NA
"Branchiomma","Branchiomma bombyx",NA
"Branchiostoma","Branchiostoma lanceolatum",NA
"Branchiura","Branchiura sowerbyi",NA
"Brissopsis","Brissopsis lyrifera",NA
"Buccinum","Buccinum undatum",NA
"Crisularia","Crisularia plumosa",NA
"Crisularia","Crisularia purpurotincta",NA
"Bulbella","Bulbella abscondita",NA
"Buskea","Buskea nitida",NA
"Byblis","Byblis abyssi",NA
"Byblis","Byblis gaimardii",NA
"Bylgides","Bylgides sarsi",NA
"Cadlina","Cadlina laevis",NA
"Caenis","Caenis horaria",NA
"Caenis","Caenis lactea",NA
"Caenis","Caenis macrura",NA
"Caenis","Caenis robusta",NA
"Callianassa","Callianassa subterranea",NA
"Callicorixa","Callicorixa praeusta",NA
"Calliopaea","Calliopaea bellula",NA
"Calliopius","Calliopius laeviusculus",NA
"Calliopius","Calliopius rathkii",NA
"Callipallene","Callipallene brevirostris",NA
"Callochiton","Callochiton septemvalvis",NA
"Callopora","Callopora craticula",NA
"Callopora","Callopora dumerilii",NA
"Callopora","Callopora lineata",NA
"Calocaris","Calocaris macandreae",NA
"Calycella","Calycella syringa",NA
"Campylaspis","Campylaspis costata",NA
"Campylaspis","Campylaspis glabra",NA
"Campylaspis","Campylaspis rubicunda",NA
"Cancer","Cancer pagurus",NA
"Capitella","Capitella capitata",NA
"Capitella","Capitella giardi",NA
"Capitella","Capitella minima",NA
"Caprella","Caprella linearis",NA
"Caprella","Caprella septentrionalis",NA
"Capulus","Capulus ungaricus",NA
"Carcinus","Carcinus maenas",NA
"Caryophyllia","Caryophyllia smithii",NA
"Caspiobdella","Caspiobdella fadejewi",NA
"Tharyx","Tharyx killariensis",NA
"Cellaria","Cellaria fistulosa",NA
"Cellaria","Cellaria sinuosa",NA
"Celleporella","Celleporella hyalina",NA
"Celleporina","Celleporina decipiens",NA
"Centroptilum","Centroptilum luteolum",NA
"Cephalothrix","Cephalothrix linearis",NA
"Ceraclea","Ceraclea annulicornis",NA
"Ceraclea","Ceraclea fulva",NA
"Ceraclea","Ceraclea nigronervosa",NA
"Ceraclea","Ceraclea senilis",NA
"Cerastoderma","Cerastoderma edule",NA
"Cerastoderma","Cerastoderma glaucum",NA
"Ceratocephale","Ceratocephale loveni",NA
"Cerianthus","Cerianthus lloydii",NA
"Cernosvitoviella","Cernosvitoviella immota",NA
"Chaetoderma","Chaetoderma nitidulum",NA
"Chaetogaster","Chaetogaster diaphanus",NA
"Chaetogaster","Chaetogaster diastrophus",NA
"Chaetogaster","Chaetogaster langi",NA
"Chaetogaster","Chaetogaster limnaei",NA
"Chaetogaster","Chaetogaster setosus",NA
"Chaetopterus","Chaetopterus variopedatus",NA
"Chaetozone","Chaetozone caputesocis",NA
"Chaetozone","Chaetozone christiei",NA
"Chaetozone","Chaetozone setosa",NA
"Chalinula","Chalinula limbata",NA
"Chamelea","Chamelea gallina",NA
"Chamelea","Chamelea striatula",NA
"Chaoborus","Chaoborus flavicans",NA
"Terminoflustra","Terminoflustra barleei",NA
"Cheilotrichia","Cheilotrichia cinerascens",NA
"Cheirocratus","Cheirocratus assimilis",NA
"Cheirocratus","Cheirocratus intermedius",NA
"Cheirocratus","Cheirocratus sundevallii",NA
"Chelicorophium","Chelicorophium curvispinum",NA
"Chirona","Chirona hameri",NA
"Chironomus","Chironomus tentans",NA
"Chironomus","Chironomus agilis",NA
"Chironomus","Chironomus annularius",NA
"Chironomus","Chironomus anthracinus",NA
"Chironomus","Chironomus aprilinus",NA
"Chironomus","Chironomus balatonicus",NA
"Chironomus","Chironomus cingulatus",NA
"Chironomus","Chironomus dorsalis",NA
"Chironomus","Chironomus halophilus",NA
"Chironomus","Chironomus neocorax",NA
"Chironomus","Chironomus pallidivittatus",NA
"Chironomus","Chironomus plumosus",NA
"Chironomus","Chironomus salinarius",NA
"Chironomus","Chironomus riparius",NA
